id,nombre,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,perfil_financiero
1663,Heliodoro,4717.87,21.36,Baja,En observacion
1664,Rodrigo,3239.37,20.33,Media,Saludable
1665,Reyna,4972.55,18.74,Media,Saludable
1666,Almudena,4479.99,18.53,Baja,En observacion
1667,Custodio,2229.79,25.84,Baja,En observacion
1668,Jordi,4757.08,19.64,Media,Saludable
1669,Rico,1907.28,28.39,Baja,En riesgo
1670,Concha,4361.07,17.85,Media,Saludable
1671,Plinio,2832.18,24.14,Media,En observacion
1672,Consuelo,4572.91,18.59,Baja,En observacion
1673,Manolo,4538.2,19.26,Media,Saludable
1674,Juana,4320.74,20.23,Baja,En observacion
1675,Manolo,4265.11,20.1,Media,Saludable
1676,Alfredo,2566.38,24.6,Media,En observacion
1677,Paula,1783.22,29.61,Media,En riesgo
1678,Genoveva,2910.43,24.12,Baja,En observacion
1679,Ruy,2107.34,25.76,Media,En observacion
1680,Leonardo,3932.33,19.13,Baja,En observacion
1681,Adán,2711.35,20.34,Baja,En observacion
1682,Clarisa,4914.64,18.89,Media,Saludable
1683,Rosaura,3743.4,20.37,Baja,En observacion
1684,Itziar,4378.68,19.26,Baja,En observacion
1685,Mayte,1963.84,27.19,Media,En riesgo
1686,Marcela,4517.05,20.23,Media,Saludable
1687,Augusto,4729.65,18.92,Media,Saludable
1688,Visitación,3204.72,21.62,Media,Saludable
1689,Eloísa,3621.89,22.06,Media,En observacion
1690,Marcia,4176.83,20.01,Media,Saludable
1691,Anabel,2111.94,26.26,Media,En riesgo
1692,Pepita,3258.98,22.77,Media,En observacion
1693,Vera,2895.32,23.38,Media,En observacion
1694,Vanesa,2012.31,25.85,Media,En observacion
1695,Luciano,2786.37,22.92,Baja,En observacion
1696,Maura,1738.6,26.53,Media,En riesgo
1697,Nerea,1590.34,31.21,Baja,En riesgo
1698,Jeremías,1973.08,28.97,Baja,En riesgo
1699,Elvira,4870.9,17.91,Media,Saludable
1700,Nidia,3423.35,20.63,Baja,En observacion
1701,Pastor,4880.38,19.06,Media,Saludable
1702,Isidoro,3013.74,21.36,Media,Saludable
1703,Fanny,2591.36,24.25,Media,En observacion
1704,Goyo,3271.5,23.73,Media,En observacion
1705,Estela,3038.29,22.58,Media,En observacion
1706,Josué,1869.83,28.15,Media,En riesgo
1707,Irene,3742.89,19.54,Baja,En observacion
1708,Marisol,2256.13,25.38,Media,En observacion
1709,Lorena,3668.56,20.25,Media,Saludable
1710,María Fernanda,3775.7,19.74,Media,Saludable
1711,Georgina,2032.09,29.54,Media,En riesgo
1712,Isa,1714.72,30.26,Baja,En riesgo
1713,Pili,4232.67,20.36,Media,Saludable
1714,Emigdio,3109.3,21.58,Media,Saludable
1715,Eusebia,1703.57,27.08,Baja,En riesgo
1716,Cleto,4982.03,17.73,Media,Saludable
1717,Vera,1702.23,29.59,Media,En riesgo
1718,Eulalia,3932.62,21.09,Media,Saludable
1719,Flavia,4942.88,18.19,Media,Saludable
1720,Aníbal,2337.13,24.45,Media,En observacion
1721,Martin,1997.87,25.78,Media,En observacion
1722,Modesta,1924.85,28.29,Media,En riesgo
1723,Valero,2561.46,23.55,Media,En observacion
1724,Anastasio,1853.66,28.85,Media,En riesgo
1725,Cruz,3922.56,20.4,Media,Saludable
1726,Pánfilo,1718.02,28.39,Media,En riesgo
1727,Lupita,3282.98,23.93,Media,En observacion
1728,Eleuterio,4988.44,17.79,Media,Saludable
1729,Cipriano,4348.9,18.21,Media,Saludable
1730,Virginia,3653.27,19.5,Media,Saludable
1731,Manolo,2571.89,23.46,Media,En observacion
1732,Nacho,3683.64,20.69,Media,Saludable
1733,Mariana,3344.65,21.69,Media,Saludable
1734,Severo,2991.29,22.42,Media,En observacion
1735,Gabino,1957.49,27.4,Baja,En riesgo
1736,Herberto,4603.11,19.94,Media,Saludable
1737,Eligio,3074.25,23.23,Media,En observacion
1738,Miriam,2181.18,21.58,Media,Saludable
1739,Calista,2787.16,22.39,Baja,En observacion
1740,Sarita,2949.45,21.35,Baja,En observacion
1741,Pío,4396.38,18.1,Media,Saludable
1742,Bernarda,4067.65,19.55,Media,Saludable
1743,Angélica,4192.57,19.4,Media,Saludable
1744,Xiomara,1538.61,34.57,Media,En riesgo
1745,Leandro,2956.54,23.48,Media,En observacion
1746,Paulina,3184.7,22.56,Baja,En observacion
1747,Fidel,1567.17,31.75,Media,En riesgo
1748,José Ángel,2409.35,25.87,Media,En observacion
1749,Xiomara,4161.01,18.66,Media,Saludable
1750,Paloma,1979.88,28.38,Media,En riesgo
1751,Alma,3373.59,20.25,Baja,En observacion
1752,Noelia,2253.21,24.94,Baja,En observacion
1753,Manolo,1542.42,31.5,Media,En riesgo
1754,Margarita,2344.21,24.72,Media,En observacion
1755,Sabina,4915.56,18.58,Media,Saludable
1756,Nilo,4305.38,17.81,Media,Saludable
1757,Nilda,4858.52,15.97,Baja,En observacion
1758,Darío,3207.49,21.38,Media,Saludable
1759,Adelina,1884.08,28.58,Baja,En riesgo
1760,Carlos,3417.86,22.57,Media,En observacion
1761,Epifanio,3090.32,21.52,Baja,En observacion
1762,Marisela,4455.25,19.43,Baja,En observacion
1763,Jaime,1843.29,29.0,Baja,En riesgo
1764,Rosalina,3208.84,22.7,Media,En observacion
1765,Inmaculada,2025.17,27.05,Baja,En riesgo
1766,Lourdes,2636.37,21.16,Baja,En observacion
1767,Ileana,4080.75,19.87,Media,Saludable
1768,Régulo,3166.06,21.02,Media,Saludable
1769,Raquel,2815.61,24.63,Baja,En observacion
1770,Nilda,2880.67,22.46,Media,En observacion
1771,Cecilia,3108.06,20.99,Baja,En observacion
1772,Pío,4247.56,19.28,Media,Saludable
1773,Cipriano,4622.3,17.52,Media,Saludable
1774,Morena,4843.67,19.23,Baja,En observacion
1775,Ruperto,4254.16,19.52,Media,Saludable
1776,Alberto,2603.92,25.88,Baja,En observacion
1777,Juan Luis,3908.47,21.05,Media,Saludable
1778,Brunilda,3031.61,22.23,Media,En observacion
1779,Duilio,2391.35,25.8,Baja,En observacion
1780,Wálter,4443.05,17.79,Media,Saludable
1781,Rafa,1634.49,29.52,Baja,En riesgo
1782,Hortensia,4656.17,19.2,Baja,En observacion
1783,Marianela,3115.17,20.55,Media,Saludable
1784,Hortensia,3730.21,19.09,Media,Saludable
1785,Juan Francisco,3807.74,22.25,Baja,En observacion
1786,Daniela,4632.91,19.24,Media,Saludable
1787,Rico,3728.34,21.35,Baja,En observacion
1788,Pacífica,3648.77,20.34,Media,Saludable
1789,Felicia,1733.28,29.26,Media,En riesgo
1790,Ramiro,3314.43,20.13,Media,Saludable
1791,Cándido,2025.59,27.81,Media,En riesgo
1792,Imelda,4081.02,19.03,Baja,En observacion
1793,Joaquín,3292.78,19.79,Media,Saludable
1794,Adriana,3880.8,20.24,Media,Saludable
1795,Amador,1645.86,30.09,Baja,En riesgo
1796,Estefanía,1796.77,27.04,Media,En riesgo
1797,Soledad,4007.13,19.34,Baja,En observacion
1798,Chelo,1752.3,30.22,Media,En riesgo
1799,Nacio,1749.4,29.91,Media,En riesgo
1800,Yolanda,1542.38,31.81,Baja,En riesgo
